date,label,direction_score,ichimoku,adx,bb_width_pct,bb_median,note
2025-04-01,,,,,,,warmup_insufficient
2025-04-02,,,,,,,warmup_insufficient
2025-04-03,,,,,,,warmup_insufficient
2025-04-04,,,,,,,warmup_insufficient
2025-04-05,,,,,,,warmup_insufficient
2025-04-06,,,,,,,warmup_insufficient
2025-04-07,,,,,,,warmup_insufficient
2025-04-08,,,,,,,warmup_insufficient
2025-04-09,,,,,,,warmup_insufficient
2025-04-10,,,,,,,warmup_insufficient
2025-04-11,,,,,,,warmup_insufficient
2025-04-12,,,,,,,warmup_insufficient
2025-04-13,,,,,,,warmup_insufficient
2025-04-14,,,,,,,warmup_insufficient
2025-04-15,,,,,,,warmup_insufficient
2025-04-16,,,,,,,warmup_insufficient
2025-04-17,,,,,,,warmup_insufficient
2025-04-18,,,,,,,warmup_insufficient
2025-04-19,,,,,,,warmup_insufficient
2025-04-20,,,,,,,warmup_insufficient
2025-04-21,,,,,,,warmup_insufficient
2025-04-22,,,,,,,warmup_insufficient
2025-04-23,,,,,,,warmup_insufficient
2025-04-24,,,,,,,warmup_insufficient
2025-04-25,,,,,,,warmup_insufficient
2025-04-26,,,,,,,warmup_insufficient
2025-04-27,,,,,,,warmup_insufficient
2025-04-28,,,,,,,warmup_insufficient
2025-04-29,,,,,,,warmup_insufficient
2025-04-30,,,,,,,warmup_insufficient
2025-05-01,,,,,,,warmup_insufficient
2025-05-02,,,,,,,warmup_insufficient
2025-05-03,,,,,,,warmup_insufficient
2025-05-04,,,,,,,warmup_insufficient
2025-05-05,,,,,,,warmup_insufficient
2025-05-06,,,,,,,warmup_insufficient
2025-05-07,,,,,,,warmup_insufficient
2025-05-08,,,,,,,warmup_insufficient
2025-05-09,,,,,,,warmup_insufficient
2025-05-10,,,,,,,warmup_insufficient
2025-05-11,,,,,,,warmup_insufficient
2025-05-12,,,,,,,warmup_insufficient
2025-05-13,,,,,,,warmup_insufficient
2025-05-14,,,,,,,warmup_insufficient
2025-05-15,,,,,,,warmup_insufficient
2025-05-16,,,,,,,warmup_insufficient
2025-05-17,,,,,,,warmup_insufficient
2025-05-18,,,,,,,warmup_insufficient
2025-05-19,,,,,,,warmup_insufficient
2025-05-20,,,,,,,warmup_insufficient
2025-05-21,,,,,,,warmup_insufficient
2025-05-22,,,,,,,warmup_insufficient
2025-05-23,uptrend,3,neutral,32.76,16.564,16.438,弱上昇（方向+一目orADX）
2025-05-24,range,-1,neutral,32.31,16.56,16.436,条件不一致
2025-05-25,range,-1,neutral,31.89,14.934,16.298,条件不一致
2025-05-26,uptrend,3,neutral,31.35,13.052,16.241,弱上昇（方向+一目orADX）
2025-05-27,range,1,neutral,31.21,11.717,16.086,条件不一致
2025-05-28,range,1,neutral,30.44,9.799,15.947,条件不一致
2025-05-29,range,-1,neutral,29.33,9.739,15.918,条件不一致
2025-05-30,downtrend,-3,neutral,27.57,9.568,15.854,弱下落
2025-05-31,downtrend,-3,neutral,26.02,9.832,15.753,弱下落
2025-06-01,range,-1,neutral,24.8,9.708,15.645,条件不一致
2025-06-02,range,1,neutral,23.2,9.148,15.526,条件不一致
2025-06-03,range,1,neutral,21.76,8.925,15.391,条件不一致
2025-06-04,range,-1,neutral,20.41,8.644,15.263,条件不一致
2025-06-05,range,-3,neutral,19.1,8.511,15.078,ADX<20 AND BB狭い
2025-06-06,range,-3,neutral,19.42,9.462,14.935,ADX<20 AND BB狭い
2025-06-07,range,-1,neutral,19.72,8.94,14.737,ADX<20 AND BB狭い
2025-06-08,range,1,neutral,19.68,8.875,14.37,ADX<20 AND BB狭い
2025-06-09,range,-1,neutral,19.3,8.848,13.627,ADX<20 AND BB狭い
2025-06-10,range,3,neutral,18.74,8.976,12.384,ADX<20 AND BB狭い
2025-06-11,range,3,neutral,18.22,9.122,10.774,ADX<20 AND BB狭い
2025-06-12,range,1,neutral,17.6,8.445,9.816,ADX<20 AND BB狭い
2025-06-13,range,-3,neutral,16.76,8.693,9.769,ADX<20 AND BB狭い
2025-06-14,range,-1,neutral,17.07,8.601,9.723,ADX<20 AND BB狭い
2025-06-15,range,-1,neutral,17.31,8.395,9.638,ADX<20 AND BB狭い
2025-06-16,range,1,neutral,17.54,7.927,9.515,ADX<20 AND BB狭い
2025-06-17,range,1,neutral,16.39,7.475,9.305,ADX<20 AND BB狭い
2025-06-18,range,-3,up,15.95,7.548,9.135,ADX<20 AND BB狭い
2025-06-19,range,-1,up,15.53,7.561,9.049,ADX<20 AND BB狭い
2025-06-20,range,-1,neutral,15.15,7.482,8.958,ADX<20 AND BB狭い
2025-06-21,range,-3,neutral,15.42,7.811,8.933,ADX<20 AND BB狭い
2025-06-22,range,-3,neutral,16.2,8.484,8.9,ADX<20 AND BB狭い
2025-06-23,range,-3,neutral,17.7,9.446,8.9,条件不一致
