entry_time,exit_time,side,size_btc,entry_price,exit_price,exit_reason,hold_min,gross_usd,fee_usd,net_usd,stoch_k_entry,stoch_d_entry,entry_hour
2025-10-08 16:56:00,2025-10-08 17:10:00,LONG,0.024,122987.7,123356.66,TP_FILLED,14.0,8.8551,0.8277,8.0274,92.06,90.83,16
2025-10-08 17:16:00,2025-10-08 17:25:00,LONG,0.024,123522.35,123892.91,TP_FILLED,9.0,8.8936,0.8313,8.0623,87.22,81.89,17
2025-10-08 17:53:00,2025-10-08 18:13:00,LONG,0.024,123921.21,123956.3,TIME_EXIT,20.0,0.8422,1.6659,-0.8236,90.86,86.61,17
2025-10-08 18:39:00,2025-10-08 18:44:00,LONG,0.024,123704.23,123518.67,SL_FILLED,5.0,-4.4534,0.8307,-5.284,82.06,59.16,18
2025-10-08 18:53:00,2025-10-08 18:58:00,LONG,0.024,123689.93,123504.39,SL_FILLED,5.0,-4.4528,0.8306,-5.2834,82.4,76.51,18
2025-10-08 19:23:00,2025-10-08 19:43:00,LONG,0.024,123441.05,123416.7,TIME_EXIT,20.0,-0.5845,1.6588,-2.2433,99.82,78.31,19
2025-10-08 20:18:00,2025-10-08 20:35:00,LONG,0.024,123524.75,123339.46,SL_FILLED,17.0,-4.4469,0.8295,-5.2764,83.4,77.99,20
2025-10-08 20:59:00,2025-10-08 21:05:00,SHORT,0.024,122878.69,123063.0,SL_FILLED,6.0,-4.4236,0.8264,-5.25,6.69,10.36,20
2025-10-08 22:07:00,2025-10-08 22:27:00,LONG,0.024,123264.67,123229.7,TIME_EXIT,20.0,-0.8393,1.6563,-2.4957,66.3,64.26,22
2025-10-08 23:17:00,2025-10-08 23:37:00,LONG,0.024,123223.58,123340.1,TIME_EXIT,20.0,2.7966,1.6573,1.1393,91.87,80.91,23
2025-10-09 00:13:00,2025-10-09 00:19:00,SHORT,0.024,123001.9,123186.4,SL_FILLED,6.0,-4.4281,0.8272,-5.2553,13.55,12.77,0
2025-10-09 00:31:00,2025-10-09 00:51:00,SHORT,0.024,122978.1,123007.3,TIME_EXIT,20.0,-0.7009,1.6531,-2.354,4.54,7.21,0
2025-10-09 01:00:00,2025-10-09 01:16:00,SHORT,0.024,122794.28,122425.9,TP_FILLED,16.0,8.8412,0.8239,8.0172,10.06,16.95,1
2025-10-09 01:33:00,2025-10-09 01:53:00,SHORT,0.024,122401.84,122380.1,TIME_EXIT,20.0,0.5217,1.6449,-1.1231,3.95,6.35,1
2025-10-09 02:03:00,2025-10-09 02:23:00,SHORT,0.024,122251.52,121997.4,TIME_EXIT,20.0,6.099,1.6405,4.4585,24.31,52.74,2
2025-10-09 02:37:00,2025-10-09 02:49:00,SHORT,0.024,121878.09,121512.45,TP_FILLED,12.0,8.7752,0.8178,7.9574,14.36,23.76,2
2025-10-09 02:57:00,2025-10-09 03:00:00,SHORT,0.024,121456.54,121638.73,SL_FILLED,3.0,-4.3724,0.8168,-5.1892,16.35,21.47,2
2025-10-09 03:45:00,2025-10-09 04:00:00,SHORT,0.024,121864.59,122047.38,SL_FILLED,15.0,-4.3871,0.8195,-5.2067,5.25,16.7,3
2025-10-09 04:04:00,2025-10-09 04:20:00,SHORT,0.024,121857.48,122040.27,SL_FILLED,16.0,-4.3869,0.8195,-5.2064,13.56,45.06,4
2025-10-09 04:37:00,2025-10-09 04:57:00,SHORT,0.024,121981.8,122060.0,TIME_EXIT,20.0,-1.8769,1.6402,-3.5171,16.31,14.54,4
2025-10-09 05:13:00,2025-10-09 05:33:00,SHORT,0.024,122033.7,121965.0,TIME_EXIT,20.0,1.6489,1.6394,0.0094,6.84,8.43,5
2025-10-09 06:10:00,2025-10-09 06:27:00,SHORT,0.024,121887.89,122070.72,SL_FILLED,17.0,-4.388,0.8197,-5.2077,13.8,31.61,6
2025-10-09 06:50:00,2025-10-09 07:10:00,SHORT,0.024,122000.1,121951.3,TIME_EXIT,20.0,1.1712,1.6392,-0.468,27.17,56.38,6
2025-10-09 07:25:00,2025-10-09 07:45:00,SHORT,0.024,121849.88,121725.0,TIME_EXIT,20.0,2.9972,1.6364,1.3608,13.4,27.47,7
2025-10-09 08:06:00,2025-10-09 08:25:00,SHORT,0.024,121762.18,121396.89,TP_FILLED,19.0,8.7669,0.817,7.9499,39.73,57.27,8
2025-10-09 08:26:00,2025-10-09 08:35:00,SHORT,0.024,121334.53,121516.53,SL_FILLED,9.0,-4.368,0.816,-5.184,24.74,32.5,8
2025-10-09 08:41:00,2025-10-09 08:47:00,SHORT,0.024,121241.12,121422.98,SL_FILLED,6.0,-4.3647,0.8154,-5.18,41.65,64.53,8
2025-10-09 08:54:00,2025-10-09 08:57:00,SHORT,0.024,121125.01,121306.7,SL_FILLED,3.0,-4.3605,0.8146,-5.1751,2.76,9.07,8
2025-10-09 09:46:00,2025-10-09 10:03:00,SHORT,0.024,121625.86,121808.3,SL_FILLED,17.0,-4.3785,0.8179,-5.1965,24.57,36.26,9
2025-10-09 10:19:00,2025-10-09 10:32:00,SHORT,0.024,121668.17,121850.67,SL_FILLED,13.0,-4.3801,0.8182,-5.1983,10.18,23.38,10
2025-10-09 10:42:00,2025-10-09 10:50:00,LONG,0.024,122262.87,122079.48,SL_FILLED,8.0,-4.4015,0.821,-5.2225,97.02,96.75,10
2025-10-09 11:02:00,2025-10-09 11:22:00,LONG,0.024,122239.57,122606.29,TP_FILLED,20.0,8.8012,0.8227,7.9786,81.88,68.31,11
2025-10-09 11:25:00,2025-10-09 11:45:00,LONG,0.024,122633.84,122749.7,TIME_EXIT,20.0,2.7808,1.6494,1.1314,92.18,90.33,11
2025-10-09 12:04:00,2025-10-09 12:24:00,LONG,0.024,122875.21,123013.2,TIME_EXIT,20.0,3.3117,1.6528,1.6589,91.97,70.47,12
2025-10-09 12:43:00,2025-10-09 12:45:00,LONG,0.024,123608.44,123423.03,SL_FILLED,2.0,-4.4499,0.83,-5.2799,88.17,88.74,12
2025-10-09 12:58:00,2025-10-09 13:04:00,LONG,0.024,123587.64,123402.26,SL_FILLED,6.0,-4.4492,0.8299,-5.279,82.8,68.48,12
2025-10-09 13:25:00,2025-10-09 13:30:00,LONG,0.024,123428.66,123243.51,SL_FILLED,5.0,-4.4434,0.8288,-5.2723,97.04,95.4,13
2025-10-09 13:56:00,2025-10-09 13:57:00,SHORT,0.024,122294.13,122477.57,SL_FILLED,1.0,-4.4026,0.8224,-5.225,18.05,32.98,13
2025-10-09 14:01:00,2025-10-09 14:08:00,SHORT,0.024,122129.81,121763.42,TP_FILLED,7.0,8.7933,0.8195,7.9739,16.79,20.87,14
2025-10-09 14:28:00,2025-10-09 14:36:00,SHORT,0.024,121609.76,121244.93,TP_FILLED,8.0,8.7559,0.816,7.9399,26.26,26.21,14
2025-10-09 14:44:00,2025-10-09 14:46:00,SHORT,0.024,121357.03,120992.96,TP_FILLED,2.0,8.7377,0.8143,7.9234,42.8,56.02,14
